Time,M_x [gauss],M_y [gauss],M_z [gauss]
8.706838,0.2715,-0.0975,-0.1815
8.716607,0.2895,-0.0705,-0.1395
8.726376,0.3075,-0.081,-0.183
8.736145,0.279,-0.111,-0.195
8.745914,0.2745,-0.081,-0.144
8.755683,0.321,-0.075,-0.156
8.765452,0.294,-0.105,-0.2085
8.775221,0.2625,-0.0975,-0.1695
8.78499,0.2985,-0.06,-0.138
8.794759,0.303,-0.09,-0.183
8.804528,0.273,-0.1065,-0.183
8.814297,0.2865,-0.0705,-0.141
8.824066,0.3195,-0.081,-0.168
8.833835,0.291,-0.105,-0.2025
8.843604,0.273,-0.093,-0.1545
8.853373,0.306,-0.0675,-0.1485
8.863142,0.3,-0.093,-0.2025
8.872911,0.267,-0.1005,-0.1845
8.88268,0.297,-0.066,-0.1365
8.89245,0.3045,-0.084,-0.1815
8.902219,0.2805,-0.108,-0.2055
8.911988,0.2745,-0.081,-0.1455
8.921757,0.3165,-0.0675,-0.1575
8.931526,0.297,-0.1035,-0.21
8.941295,0.273,-0.093,-0.1635
8.951064,0.3075,-0.0615,-0.1425
8.96083,0.306,-0.087,-0.198
8.970596,0.2715,-0.102,-0.1965
8.980362,0.291,-0.0735,-0.1455
8.990128,0.309,-0.066,-0.165
8.999894,0.2895,-0.1035,-0.21
9.00966,0.267,-0.084,-0.1545
9.019426,0.309,-0.069,-0.1515
9.029192,0.2985,-0.1035,-0.2055
9.038958,0.27,-0.1035,-0.177
9.048724,0.2955,-0.069,-0.138
9.05849,0.3165,-0.087,-0.186
9.068256,0.2835,-0.1005,-0.195
9.078022,0.273,-0.0765,-0.147
9.087788,0.315,-0.0705,-0.1635
9.097554,0.2955,-0.0975,-0.2025
9.10732,0.2595,-0.0975,-0.162
9.117086,0.2985,-0.0675,-0.138
9.126852,0.3,-0.0915,-0.195
9.136618,0.2715,-0.1065,-0.186
9.146384,0.282,-0.075,-0.1275
9.15615,0.321,-0.069,-0.177
9.165916,0.2865,-0.0945,-0.201
9.175682,0.261,-0.093,-0.1515
9.185448,0.315,-0.0645,-0.1455
9.195214,0.3045,-0.0975,-0.204
9.20498,0.2745,-0.1005,-0.1725
9.214746,0.2985,-0.069,-0.1365
9.224512,0.3165,-0.0825,-0.1935
9.234278,0.2775,-0.111,-0.1905
9.244043,0.2745,-0.0825,-0.1455
9.253809,0.318,-0.0675,-0.159
9.263575,0.291,-0.0975,-0.2085
9.273341,0.261,-0.0915,-0.156
9.283107,0.3015,-0.0675,-0.144
9.292873,0.3105,-0.087,-0.1935
9.302639,0.2745,-0.099,-0.186
9.312405,0.2775,-0.066,-0.132
9.322171,0.3255,-0.081,-0.171
9.331937,0.285,-0.1005,-0.207
9.341703,0.276,-0.087,-0.1455
9.351469,0.3015,-0.075,-0.1425
9.361235,0.303,-0.099,-0.204
9.371001,0.2745,-0.1035,-0.171
9.380767,0.2955,-0.072,-0.1365
9.390533,0.3105,-0.087,-0.1905
9.400299,0.2775,-0.096,-0.1935
9.410065,0.273,-0.078,-0.1455
9.419831,0.321,-0.0735,-0.1635
9.429597,0.2895,-0.102,-0.2085
9.439363,0.273,-0.093,-0.1665
9.449129,0.2985,-0.0645,-0.1455
9.458895,0.3165,-0.09,-0.207
9.468661,0.2715,-0.111,-0.174
9.478427,0.282,-0.0675,-0.1335
9.488193,0.3105,-0.0735,-0.186
9.497959,0.2925,-0.111,-0.1965
9.507725,0.276,-0.0915,-0.1545
9.517491,0.3195,-0.0765,-0.153
9.527257,0.3015,-0.1005,-0.198
9.537023,0.27,-0.1005,-0.177
9.546789,0.297,-0.072,-0.138
9.556555,0.312,-0.0885,-0.192
9.566321,0.2805,-0.1095,-0.204
9.576087,0.2775,-0.0765,-0.1365
9.585853,0.3045,-0.081,-0.1575
9.595619,0.291,-0.096,-0.201
9.605385,0.2745,-0.0945,-0.15
9.615151,0.3075,-0.069,-0.147
9.624917,0.312,-0.093,-0.1995
9.634683,0.267,-0.096,-0.1785
9.644449,0.2895,-0.0735,-0.1365
9.654215,0.315,-0.075,-0.177
9.663981,0.285,-0.1065,-0.2025
9.673747,0.2715,-0.0855,-0.1425
9.683513,0.3015,-0.0675,-0.159
9.693279,0.2895,-0.1005,-0.204
9.703045,0.2715,-0.09,-0.171
9.712811,0.2895,-0.0735,-0.1395
9.722577,0.3285,-0.084,-0.186
9.732343,0.2625,-0.105,-0.192
9.742109,0.2895,-0.075,-0.1425
9.751875,0.315,-0.0675,-0.159
9.761641,0.288,-0.1005,-0.2055
9.771407,0.267,-0.0975,-0.1605
9.781173,0.306,-0.0705,-0.141
9.790939,0.3,-0.099,-0.1995
9.800705,0.273,-0.1035,-0.18
9.810471,0.291,-0.0705,-0.1335
9.820237,0.315,-0.081,-0.177
9.830003,0.282,-0.111,-0.1995
9.839769,0.273,-0.084,-0.1455
9.849535,0.312,-0.069,-0.1425
9.859301,0.297,-0.1005,-0.2025
9.869067,0.273,-0.105,-0.165
9.878833,0.297,-0.066,-0.1395
9.888599,0.3165,-0.0855,-0.186
9.898365,0.2685,-0.108,-0.1905
9.908131,0.276,-0.087,-0.15
9.917897,0.315,-0.072,-0.1725
9.927663,0.291,-0.105,-0.201
9.937431,0.2715,-0.0945,-0.1545
9.947199,0.306,-0.066,-0.147
9.956967,0.3105,-0.0915,-0.1995
9.966735,0.2685,-0.111,-0.1815
9.976502,0.2895,-0.075,-0.1395
9.98627,0.318,-0.078,-0.177
9.996038,0.2835,-0.1095,-0.198
10.005806,0.279,-0.0795,-0.144
10.015574,0.312,-0.072,-0.1545
10.025342,0.294,-0.093,-0.21
10.03511,0.2715,-0.0945,-0.168
10.044878,0.291,-0.063,-0.144
10.054646,0.3195,-0.0915,-0.192
10.064414,0.276,-0.105,-0.1875
10.074182,0.2745,-0.0825,-0.135
10.08395,0.3135,-0.075,-0.165
10.093718,0.282,-0.096,-0.201
10.103486,0.279,-0.0975,-0.15
10.113254,0.3015,-0.0795,-0.1485
10.123022,0.3105,-0.09,-0.1965
10.13279,0.2655,-0.0975,-0.186
10.142558,0.2955,-0.0705,-0.1365
10.152326,0.312,-0.0855,-0.1755
10.162094,0.276,-0.1035,-0.21
10.171862,0.273,-0.0825,-0.1365
10.18163,0.306,-0.0615,-0.1545
10.191398,0.291,-0.096,-0.2085
10.201166,0.2745,-0.0975,-0.171
10.210934,0.297,-0.066,-0.1365
10.220702,0.315,-0.087,-0.198
10.23047,0.2715,-0.1095,-0.195
10.240238,0.2835,-0.0795,-0.1335
10.250006,0.309,-0.081,-0.1695
10.259774,0.2925,-0.1005,-0.201
10.269542,0.276,-0.084,-0.1575
10.27931,0.306,-0.072,-0.135
10.289078,0.3075,-0.0945,-0.2025
10.298846,0.2655,-0.1065,-0.1755
10.308613,0.294,-0.0675,-0.1455
10.318381,0.3165,-0.0795,-0.186
10.328149,0.279,-0.1065,-0.1935
10.337917,0.2805,-0.084,-0.15
10.347685,0.3075,-0.066,-0.153
10.357453,0.2955,-0.0975,-0.207
10.367221,0.264,-0.0945,-0.159
10.376989,0.291,-0.075,-0.144
10.386757,0.312,-0.0975,-0.1875
10.396525,0.2775,-0.1035,-0.1935
10.406293,0.282,-0.069,-0.138
10.416061,0.3195,-0.063,-0.177
10.425829,0.285,-0.099,-0.2085
10.435597,0.273,-0.0915,-0.156
10.445365,0.3045,-0.0645,-0.138
10.455133,0.3015,-0.1005,-0.1995
10.464901,0.2685,-0.0975,-0.1785
10.474669,0.2985,-0.0705,-0.1305
10.484437,0.3165,-0.075,-0.1905
10.494205,0.2775,-0.1125,-0.1995
10.503973,0.279,-0.0765,-0.1395
10.513741,0.309,-0.063,-0.165
10.523509,0.2955,-0.099,-0.207
10.533277,0.2685,-0.087,-0.153
10.543045,0.309,-0.069,-0.141
10.552813,0.3105,-0.0945,-0.1965
10.562581,0.2745,-0.1095,-0.1935
10.572349,0.2805,-0.078,-0.141
10.582117,0.3195,-0.0705,-0.165
10.591885,0.2955,-0.105,-0.195
10.601653,0.279,-0.0825,-0.1515
10.611421,0.309,-0.069,-0.156
10.621189,0.3045,-0.096,-0.207
10.630957,0.2685,-0.0975,-0.168
10.640725,0.297,-0.072,-0.1335
10.650492,0.312,-0.075,-0.183
10.66026,0.276,-0.111,-0.2055
10.670028,0.2805,-0.081,-0.1425
10.679796,0.3135,-0.072,-0.159
10.689564,0.2895,-0.1035,-0.207
10.699332,0.267,-0.0915,-0.1605
10.7091,0.297,-0.066,-0.144
10.718868,0.306,-0.0855,-0.1965
10.728636,0.264,-0.096,-0.192
10.738404,0.2865,-0.069,-0.1305
10.748172,0.3105,-0.0795,-0.1695
10.75794,0.2805,-0.108,-0.201
10.767708,0.2685,-0.0915,-0.1545
10.777476,0.306,-0.057,-0.141
10.787244,0.2985,-0.0975,-0.201
10.797012,0.267,-0.096,-0.168
10.80678,0.291,-0.069,-0.1395
10.816548,0.3075,-0.0825,-0.1875
10.826316,0.276,-0.111,-0.192
10.836084,0.2745,-0.0795,-0.138
10.845852,0.3105,-0.078,-0.1545
10.85562,0.2955,-0.1035,-0.1995
10.865388,0.2655,-0.093,-0.1515
10.875156,0.3015,-0.0705,-0.144
10.884924,0.3105,-0.0915,-0.1995
10.894692,0.2715,-0.105,-0.1875
10.90446,0.2925,-0.072,-0.132
10.914225,0.321,-0.081,-0.183
10.923991,0.291,-0.108,-0.204
10.933756,0.2655,-0.087,-0.1455
10.943522,0.309,-0.0705,-0.1485
10.953287,0.288,-0.1035,-0.2115
10.963053,0.282,-0.1035,-0.174
10.972818,0.291,-0.069,-0.1365
10.982584,0.3135,-0.087,-0.1905
10.992349,0.2745,-0.1065,-0.2055
11.002115,0.279,-0.069,-0.141
11.01188,0.3135,-0.0765,-0.1635
11.021645,0.2895,-0.1005,-0.2145
11.031411,0.2595,-0.099,-0.162
11.041176,0.303,-0.0765,-0.141
11.050942,0.303,-0.087,-0.1875
11.060707,0.2775,-0.1005,-0.189
11.070473,0.285,-0.072,-0.1425
11.080238,0.318,-0.066,-0.162
11.090004,0.2865,-0.108,-0.2025
11.099769,0.2775,-0.09,-0.1515
11.109535,0.309,-0.0675,-0.147
11.1193,0.3,-0.0945,-0.1965
11.129066,0.2655,-0.108,-0.1725
11.138831,0.2925,-0.075,-0.138
11.148597,0.312,-0.0825,-0.177
11.158362,0.27,-0.108,-0.1965
11.168128,0.279,-0.075,-0.1365
11.177893,0.312,-0.0645,-0.1575
11.187659,0.2925,-0.102,-0.2055
11.197424,0.2715,-0.096,-0.1575
11.20719,0.297,-0.069,-0.138
11.216955,0.306,-0.0945,-0.1875
11.226721,0.276,-0.102,-0.183
11.236486,0.282,-0.0705,-0.1335
11.246251,0.3165,-0.081,-0.1755
11.256017,0.2865,-0.1035,-0.2055
11.265782,0.276,-0.0765,-0.1545
11.275548,0.3135,-0.072,-0.156
11.285313,0.3,-0.1005,-0.1965
11.295079,0.273,-0.1005,-0.18
11.304844,0.2865,-0.069,-0.1335
11.31461,0.3045,-0.087,-0.1845
11.324375,0.273,-0.1005,-0.201
11.334141,0.279,-0.084,-0.1395
11.343906,0.3135,-0.075,-0.1545
11.353672,0.2895,-0.1095,-0.2115
11.363437,0.279,-0.087,-0.1515
11.373203,0.294,-0.069,-0.1365
11.382968,0.3105,-0.081,-0.195
11.392734,0.276,-0.105,-0.1905
11.402499,0.2835,-0.078,-0.138
11.412265,0.309,-0.0735,-0.174
11.42203,0.285,-0.108,-0.2115
11.431796,0.273,-0.084,-0.1545
11.441561,0.309,-0.063,-0.147
11.451327,0.297,-0.0975,-0.204
11.461092,0.2715,-0.0945,-0.171
11.470857,0.2955,-0.0705,-0.135
11.480623,0.3195,-0.075,-0.198
11.490388,0.2775,-0.1125,-0.192
11.500154,0.2835,-0.0855,-0.144
11.509919,0.321,-0.0705,-0.1545
11.519685,0.288,-0.105,-0.207
11.52945,0.2745,-0.093,-0.1635
11.539216,0.2985,-0.0675,-0.1425
11.548981,0.312,-0.096,-0.1965
11.558747,0.2715,-0.1005,-0.1875
11.568512,0.2745,-0.0765,-0.138
11.578278,0.318,-0.075,-0.171
11.588043,0.2805,-0.1065,-0.1995
11.597809,0.267,-0.093,-0.1485
11.607574,0.303,-0.0675,-0.153
