Time,M_x [gauss],M_y [gauss],M_z [gauss]
9.192743,0.333,0.0135,0.0285
9.202508,0.3705,0.0225,0.045
9.212273,0.3585,0.0015,-0.006
9.222038,0.3345,-0.0015,0.0045
9.231803,0.3525,0.0345,0.051
9.241568,0.378,0.021,0.0045
9.251333,0.345,-0.0075,-0.015
9.261099,0.33,0.0195,0.042
9.270864,0.375,0.033,0.0375
9.280629,0.357,-0.012,-0.0075
9.290394,0.336,0.003,0.021
9.300159,0.363,0.0225,0.045
9.309924,0.375,0.0105,-0.006
9.319689,0.3375,-0.003,0.0
9.329454,0.3435,0.024,0.0495
9.339219,0.372,0.0285,0.0255
9.348984,0.354,-0.0015,-0.0105
9.358749,0.339,0.006,0.027
9.368514,0.3675,0.027,0.042
9.378279,0.3735,0.0015,-0.0135
9.388044,0.3375,-0.0075,-0.0015
9.39781,0.3435,0.0315,0.057
9.407575,0.3795,0.0285,0.012
9.41734,0.3465,0.0015,-0.009
9.427105,0.3375,0.015,0.0435
9.43687,0.3765,0.0255,0.036
9.446635,0.3615,-0.003,-0.006
9.4564,0.339,0.0,0.024
9.466165,0.3615,0.0255,0.048
9.47593,0.3855,0.0135,-0.003
9.485695,0.3375,0.0,-0.009
9.49546,0.3375,0.027,0.048
9.505225,0.3765,0.0255,0.027
9.51499,0.366,-0.003,-0.018
9.524755,0.333,0.0045,0.036
9.53452,0.3645,0.03,0.045
9.544286,0.369,0.003,-0.0045
9.554051,0.3315,-0.006,0.012
9.563816,0.3585,0.024,0.057
9.573581,0.363,0.0225,0.006
9.583346,0.354,-0.003,-0.0135
9.593111,0.33,0.0105,0.0345
9.602876,0.372,0.03,0.0375
9.612641,0.3615,0.006,-0.0075
9.622406,0.327,-0.0045,0.0135
9.632171,0.363,0.027,0.048
9.641936,0.375,0.0225,-0.0015
9.651701,0.3405,-0.0045,-0.006
9.661466,0.339,0.0285,0.042
9.671231,0.375,0.03,0.0255
9.680997,0.3585,-0.0045,-0.0165
9.690762,0.336,0.012,0.0225
9.700527,0.3615,0.0285,0.048
9.710292,0.3735,-0.0015,-0.003
9.720057,0.342,0.0,0.0
9.729822,0.348,0.021,0.0465
9.739587,0.381,0.018,0.0135
9.749352,0.348,-0.0015,-0.0165
9.759117,0.339,0.0165,0.0345
9.768882,0.3705,0.027,0.0345
9.778647,0.363,0.003,-0.0105
9.788412,0.333,-0.006,0.006
9.798177,0.3645,0.024,0.045
9.807942,0.372,0.015,0.0075
9.817708,0.342,-0.003,-0.0135
9.827473,0.3465,0.012,0.0495
9.837238,0.3735,0.0255,0.024
9.847003,0.3585,-0.0015,-0.018
9.856768,0.33,0.006,0.027
9.866533,0.3585,0.03,0.0555
9.876298,0.372,0.0165,-0.009
9.886063,0.339,-0.0045,-0.009
9.895828,0.351,0.0255,0.039
9.905593,0.381,0.0225,0.0135
9.915358,0.3555,-0.009,-0.0135
9.925123,0.342,0.0045,0.036
9.93489,0.3645,0.0255,0.045
9.944656,0.3705,0.0075,-0.015
9.954422,0.3345,0.0075,0.0105
9.964188,0.354,0.024,0.045
9.973954,0.369,0.015,0.0015
9.983721,0.3525,-0.0105,-0.0135
9.993487,0.33,0.018,0.0435
10.003253,0.378,0.027,0.036
10.013019,0.36,-0.003,-0.018
10.022786,0.3405,0.0015,0.0195
10.032552,0.366,0.03,0.0465
10.042318,0.3615,0.0105,0.0045
10.052084,0.3435,-0.009,-0.0045
10.061851,0.3465,0.021,0.054
10.071617,0.381,0.0165,0.0255
