Datetime,C2 Value
2024-06-30 16:00:00,-27.69128824202415
2024-06-30 17:00:00,-27.68793355751613
2024-06-30 18:00:00,-27.326926155214338
2024-06-30 19:00:00,-27.773928623805094
2024-06-30 20:00:00,-28.130864686827543
2024-06-30 21:00:00,-27.776618395765887
2024-06-30 22:00:00,-27.232101866781836
2024-06-30 23:00:00,-27.43810646594857
2024-07-01 00:00:00,-27.720336553481715
2024-07-01 01:00:00,-27.83929916255836
2024-07-01 02:00:00,-27.747206420404353
2024-07-01 03:00:00,-27.63658553363655
2024-07-01 04:00:00,-27.46745456938176
2024-07-01 05:00:00,-27.50771351170671
2024-07-01 06:00:00,-27.53385560409717
2024-07-01 07:00:00,-27.53828518834361
2024-07-01 08:00:00,-27.440906698333592
2024-07-01 09:00:00,-27.544351463960957
2024-07-01 10:00:00,-27.196011559179773
2024-07-01 11:00:00,-27.571596067090177
2024-07-01 12:00:00,-27.77414928392068
2024-07-01 13:00:00,-27.52522386967705
2024-07-01 14:00:00,-27.44268313044508
2024-07-01 15:00:00,-27.90401898606785
2024-07-01 16:00:00,-27.548408899798705
2024-07-01 17:00:00,-27.41753473270134
2024-07-01 18:00:00,-27.573871714720596
2024-07-01 19:00:00,-27.80609661564003
2024-07-01 20:00:00,-27.695809856943363
2024-07-01 21:00:00,-27.58763452601088
2024-07-01 22:00:00,-27.437058106129054
2024-07-01 23:00:00,-27.426443581502078
2024-07-02 00:00:00,-26.957488004932316
2024-07-02 01:00:00,-27.027812579741962
2024-07-02 02:00:00,-27.388396514016392
2024-07-02 03:00:00,-26.62852322140544
2024-07-05 17:00:00,-23.77238579423596
2024-07-05 18:00:00,-23.542411254087323
2024-07-05 19:00:00,-23.63787344926538
2024-07-05 20:00:00,-23.348859071530267
2024-07-05 21:00:00,-23.32197989612428
2024-07-05 22:00:00,-23.336894300520573
2024-07-05 23:00:00,-23.15612728592796
2024-07-06 00:00:00,-22.95788062445212
2024-07-06 01:00:00,-23.33575396202506
2024-07-06 02:00:00,-23.73294578408976
2024-07-06 03:00:00,-23.194637397520168
2024-07-06 04:00:00,-23.155875861967473
2024-07-06 05:00:00,-22.712506470961046
2024-07-06 06:00:00,-22.56747446193141
2024-07-06 07:00:00,-22.70443216741102
2024-07-06 08:00:00,-22.585792597151958
2024-07-06 09:00:00,-22.257894735033283
2024-07-06 10:00:00,-22.421985302855333
2024-07-06 11:00:00,-23.303597065970948
2024-07-06 12:00:00,-22.822616145400755
2024-07-06 13:00:00,-22.942763869857767
2024-07-06 14:00:00,-22.888457663326477
2024-07-06 15:00:00,-23.062023431950887
2024-07-06 16:00:00,-22.91493965334204
2024-07-06 17:00:00,-22.859793066582426
2024-07-06 18:00:00,-22.793345881655
2024-07-06 19:00:00,-23.079371379301183
2024-07-06 20:00:00,-23.2831874149091
2024-07-06 21:00:00,-22.92497687146741
2024-07-06 22:00:00,-22.71077966765064
2024-07-06 23:00:00,-23.00724623882923
2024-07-07 00:00:00,-23.220673811201305
2024-07-07 01:00:00,-22.68883516305165
2024-07-07 02:00:00,-22.667297201641
2024-07-07 03:00:00,-22.12468395821975
2024-07-07 04:00:00,-22.30862756175469
2024-07-07 05:00:00,-22.39726202352355
2024-07-07 06:00:00,-22.39010076639438
2024-07-07 07:00:00,-22.531666892044335
2024-07-07 08:00:00,-22.64594773934457
2024-07-07 09:00:00,-22.528920062738408
2024-07-07 10:00:00,-23.13977562474343
2024-07-07 11:00:00,-24.393796950597583
2024-07-07 12:00:00,-24.314751748175816
2024-07-07 13:00:00,-24.354008129157528
2024-07-07 14:00:00,-24.2376660281926
2024-07-07 15:00:00,-24.18766779475298
2024-07-09 13:00:00,-26.46195779917864
2024-07-09 14:00:00,-23.626112407867836
2024-07-09 15:00:00,-22.98354451453487
2024-07-09 16:00:00,-22.095119281411392
2024-07-09 17:00:00,-22.807537005034696
2024-07-09 18:00:00,-22.56010482089383
2024-07-09 19:00:00,-22.25407870234219
2024-07-09 20:00:00,-22.205977918696874
2024-07-09 21:00:00,-21.94634387014861
2024-07-09 22:00:00,-21.785410514733815
2024-07-09 23:00:00,-21.823194664230193
2024-07-10 00:00:00,-21.40235434931072
2024-07-10 01:00:00,-21.11360265618014
2024-07-10 02:00:00,-20.93929639494695
2024-07-10 03:00:00,-20.748000802308464
2024-07-10 04:00:00,-20.61593802767357
2024-07-10 05:00:00,-20.45763847845796
2024-07-10 06:00:00,-20.344630957216815
2024-07-10 07:00:00,-20.373802140686102
2024-07-10 08:00:00,-20.338314909572745
2024-07-10 09:00:00,-20.766468587588676
2024-07-10 10:00:00,-20.73481709689024
2024-07-10 11:00:00,-20.551706537388768
2024-07-10 12:00:00,-20.55012775719095
2024-07-10 13:00:00,-20.622792214268888
2024-07-10 14:00:00,-31.25865770536659
2024-07-10 15:00:00,-29.202314160751527
2024-07-10 16:00:00,-29.1974087603606
2024-07-10 17:00:00,-31.294863546518396
2024-07-10 18:00:00,-31.222140223436654
2024-07-10 19:00:00,-30.97336626337369
2024-07-10 20:00:00,-30.77460804754041
2024-07-10 21:00:00,-30.78974558335903
2024-07-10 22:00:00,-31.04895915536386
2024-07-10 23:00:00,-31.22483030314188
2024-07-11 00:00:00,-31.310938497524237
2024-07-11 01:00:00,-31.351052670230985
2024-07-11 02:00:00,-31.425446261986053
2024-07-11 03:00:00,-31.599887382968177
2024-07-11 04:00:00,-31.767730392385978
2024-07-11 05:00:00,-31.83069254540075
2024-07-11 06:00:00,-31.88648701927972
2024-07-11 07:00:00,-31.94187309915413
2024-07-11 08:00:00,-31.962670540865574
2024-07-11 09:00:00,-32.092148611484966
2024-07-11 10:00:00,-32.118939516493356
2024-07-11 11:00:00,-32.12174007560162
2024-07-11 12:00:00,-32.20485910467235
2024-07-11 13:00:00,-32.25952980754139
2024-07-11 14:00:00,-32.24497361494615
2024-07-11 15:00:00,-32.12802393195901
